127.0.0.1 - - [31/Dec/2025:22:48:43 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:48:44 +0530] "GET /QMS_UI/ HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:48:45 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:52:39 +0530] "POST /QMS_UI/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:52:39 +0530] "GET /QMS_UI/StudentMenu.jsp HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:52:44 +0530] "POST /QMS_UI/showQuiz.jsp HTTP/1.1" 200 4494
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:52:54 +0530] "GET /QMS_UI/StudentMenu.jsp HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:52:57 +0530] "POST /QMS_UI/showQuiz.jsp HTTP/1.1" 200 4494
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:53:01 +0530] "GET /QMS_UI/StudentMenu.jsp HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:53:11 +0530] "GET /QMS_UI/logout.jsp HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:53:13 +0530] "GET /QMS_UI/index.jsp HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:53:25 +0530] "POST /QMS_UI/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:53:25 +0530] "GET /QMS_UI/StudentMenu.jsp HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:01 +0530] "POST /QMS_UI/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:02 +0530] "GET /QMS_UI/AdminMenu.jsp HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:13 +0530] "POST /QMS_UI/createQuizForm.jsp HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:41 +0530] "POST /QMS_UI/CreateQuiz.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:43 +0530] "GET /QMS_UI/AdminMenu.jsp HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:47 +0530] "POST /QMS_UI/listQuizAdmin.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:56:47 +0530] "GET /QMS_UI/images/delete.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:57:57 +0530] "POST /QMS_UI/listQuizAdmin.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:57:57 +0530] "GET /QMS_UI/images/delete.png HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:58:01 +0530] "GET /QMS_UI/AdminMenu.jsp HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [31/Dec/2025:22:58:03 +0530] "POST /QMS_UI/viewScoreAdmin.jsp HTTP/1.1" 200 4754
